Key,Label,Parent Key,Depth,Sort Order,Link Type,Linked Collection Handle / URL,Path
men/new-now/summer-sets,SUMMER SETS,men/new-now,2,103,COLLECTION,summer-sets-men,MEN > NEW & NOW > SUMMER SETS
men/new-now/winter-sets,WINTER SETS,men/new-now,2,104,COLLECTION,winter-sets,MEN > NEW & NOW > WINTER SETS
men/clothing,CLOTHING,men,1,110,COLLECTION,men-clothing,MEN > CLOTHING
men/clothing/jeans,JEANS,men/clothing,2,111,COLLECTION,jeans-men,MEN > CLOTHING > JEANS
men/clothing/baggy,BAGGY,men/clothing,2,112,COLLECTION,baggy-men,MEN > CLOTHING > BAGGY
men/clothing/super-skinny-jeans,SUPER SKINNY JEANS,men/clothing,2,113,COLLECTION,super-skinny-jeans-men,MEN > CLOTHING > SUPER SKINNY JEANS
men/clothing/skinny-jeans,SKINNY JEANS,men/clothing,2,114,COLLECTION,skinny-jeans,MEN > CLOTHING > SKINNY JEANS
men/clothing/slim-jeans,SLIM JEANS,men/clothing,2,115,COLLECTION,slim-jeans-men,MEN > CLOTHING > SLIM JEANS
men/clothing/shirts,SHIRTS,men/clothing,2,116,COLLECTION,shirts,MEN > CLOTHING > SHIRTS
men/clothing/dress-shirt,DRESS SHIRT,men/clothing,2,117,COLLECTION,dress-shirt,MEN > CLOTHING > DRESS SHIRT
men/clothing/denim-shirts,DENIM SHIRTS,men/clothing,2,118,COLLECTION,denim-shirts,MEN > CLOTHING > DENIM SHIRTS
men/clothing/linen-shirts,LINEN SHIRTS,men/clothing,2,119,COLLECTION,linen-shirts,MEN > CLOTHING > LINEN SHIRTS
men/clothing/graphic-t-shirts-summer,GRAPHIC T-SHIRTS (SUMMER),men/clothing,2,120,COLLECTION,short-sleeve-shirts,MEN > CLOTHING > GRAPHIC T-SHIRTS (SUMMER)
men/clothing/graphic-t-shirts-winter,GRAPHIC T-SHIRTS (WINTER),men/clothing,2,121,COLLECTION,graphic-t-shirts-winter,MEN > CLOTHING > GRAPHIC T-SHIRTS (WINTER)
men/clothing/t-shirts,T-SHIRTS,men/clothing,2,122,COLLECTION,t-shirts,MEN > CLOTHING > T-SHIRTS
men/clothing/tank-tops,TANK TOPS,men/clothing,2,123,COLLECTION,tank-tops-men,MEN > CLOTHING > TANK TOPS
men/clothing/tops,TOPS,men/clothing,2,124,COLLECTION,tops-men,MEN > CLOTHING > TOPS
men/clothing/shorts,SHORTS,men/clothing,2,125,COLLECTION,shorts-1,MEN > CLOTHING > SHORTS
men/clothing/pants,PANTS,men/clothing,2,126,COLLECTION,pants,MEN > CLOTHING > PANTS
men/clothing/jackets-coats,JACKETS & COATS,men/clothing,2,127,COLLECTION,jackets-coats,MEN > CLOTHING > JACKETS & COATS
men/clothing/tracksuits,TRACKSUITS,men/clothing,2,128,COLLECTION,tracksuits-1,MEN > CLOTHING > TRACKSUITS
men/clothing/sweatpants,SWEATPANTS,men/clothing,2,129,COLLECTION,sweatpants-men,MEN > CLOTHING > SWEATPANTS
men/clothing/sweatshirts-hoodies,SWEATSHIRTS & HOODIES,men/clothing,2,130,COLLECTION,matching-sets,MEN > CLOTHING > SWEATSHIRTS & HOODIES
men/clothing/overalls,OVERALLS,men/clothing,2,131,COLLECTION,overalls,MEN > CLOTHING > OVERALLS
men/clothing/swimwear,SWIMWEAR,men/clothing,2,132,COLLECTION,swimwear-1,MEN > CLOTHING > SWIMWEAR
men/clothing/sweaters,SWEATERS,men/clothing,2,133,COLLECTION,sweaters-men,MEN > CLOTHING > SWEATERS
men/clothing/polos,POLOS,men/clothing,2,134,COLLECTION,polos,MEN > CLOTHING > POLOS
men/clothing/shirt-shop,SHIRT SHOP,men/clothing,2,135,COLLECTION,men-shirt-shop,MEN > CLOTHING > SHIRT SHOP
men/accessories-shoes,ACCESSORIES & SHOES,men,1,140,COLLECTION,men-accessories-shoes,MEN > ACCESSORIES & SHOES
men/accessories-shoes/jewelry,JEWELRY,men/accessories-shoes,2,141,COLLECTION,jewelry,MEN > ACCESSORIES & SHOES > JEWELRY
men/accessories-shoes/sunglasses,SUNGLASSES,men/accessories-shoes,2,142,COLLECTION,sunglasses,MEN > ACCESSORIES & SHOES > SUNGLASSES
men/accessories-shoes/belts,BELTS,men/accessories-shoes,2,143,COLLECTION,belts,MEN > ACCESSORIES & SHOES > BELTS
men/accessories-shoes/hats,HATS,men/accessories-shoes,2,144,COLLECTION,hats-men,MEN > ACCESSORIES & SHOES > HATS
men/accessories-shoes/shoes,SHOES,men/accessories-shoes,2,145,COLLECTION,shoes,MEN > ACCESSORIES & SHOES > SHOES
men/accessories-shoes/fragrance-beauty,FRAGRANCE & BEAUTY,men/accessories-shoes,2,146,COLLECTION,fragrance-beauty,MEN > ACCESSORIES & SHOES > FRAGRANCE & BEAUTY
men/accessories-shoes/socks-underwear,SOCKS & UNDERWEAR,men/accessories-shoes,2,147,COLLECTION,socks-underwear,MEN > ACCESSORIES & SHOES > SOCKS & UNDERWEAR
men/accessories-shoes/ties,TIES,men/accessories-shoes,2,148,COLLECTION,ties,MEN > ACCESSORIES & SHOES > TIES
men/accessories-shoes/all-accessories,ALL ACCESSORIES,men/accessories-shoes,2,149,COLLECTION,all-accessories,MEN > ACCESSORIES & SHOES > ALL ACCESSORIES
jeans,JEANS,,0,200,PAGE,/collections/all,JEANS
jeans/men,MEN,jeans,1,201,COLLECTION,jeans-men,JEANS > MEN
jeans/men/skinny-jeans,SKINNY JEANS,jeans/men,2,202,COLLECTION,skinny-jeans,JEANS > MEN > SKINNY JEANS
jeans/men/super-skinny-jeans,SUPER SKINNY JEANS,jeans/men,2,203,COLLECTION,super-skinny-jeans-men,JEANS > MEN > SUPER SKINNY JEANS
jeans/men/baggy,BAGGY,jeans/men,2,204,COLLECTION,baggy-men,JEANS > MEN > BAGGY
jeans/men/slim-jeans,SLIM JEANS,jeans/men,2,205,COLLECTION,slim-jeans-men,JEANS > MEN > SLIM JEANS
jeans/women,WOMEN,jeans,1,210,COLLECTION,clothing-jeans,JEANS > WOMEN
jeans/women/skinny-jeans,SKINNY JEANS,jeans/women,2,211,COLLECTION,skinny-jeans-women,JEANS > WOMEN > SKINNY JEANS
jeans/women/relaxed-jeans,RELAXED JEANS,jeans/women,2,212,COLLECTION,relaxed-women,JEANS > WOMEN > RELAXED JEANS
jeans/women/flare-wide-leg-jeans,FLARE & WIDE LEG JEANS,jeans/women,2,213,COLLECTION,jeans-women,JEANS > WOMEN > FLARE & WIDE LEG JEANS
rewards,REWARDS,,0,300,PAGE,/pages/rewards,REWARDS
become-affiliate,BECOME AFFILIATE,,0,310,PAGE,/pages/become-affiliate,BECOME AFFILIATE
